"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-10-21",,,,,,,,,"22.8",",,Z","10.0",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-10-22",,,,,,,,,"23.3",",,Z","13.3",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-10-23",,,,,,,,,"24.4",",,Z","14.4",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-10-24",,,,,,,,,"24.4",",,Z","16.1",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-10-25",,,,,,,,,"25.0",",,Z","13.3",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-10-26",,,,,,,,,"14.4",",,Z","6.7",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-10-27",,,,,,,,,"10.6",",,Z","5.0",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-10-28",,,,,,,,,"11.1",",,Z","4.4",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-10-29",,,,,,,,,"12.8",",,Z","1.7",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-10-30",,,,,,,,,"16.1",",,Z","6.1",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-10-31",,,,,,,,,"16.1",",,Z","8.3",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-01",,,,,,,,,"20.6",",,Z","8.9",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-02",,,,,,,,,"23.9",",,Z","12.2",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-03",,,,,,,,,"19.4",",,Z","13.3",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-04",,,,,,,,,"16.1",",,Z","7.8",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-05",,,,,,,,,"14.4",",,Z","7.8",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-06",,,,,,,,,"13.9",",,Z","2.8",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-07",,,,,,,,,"20.6",",,Z","9.4",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-08",,,,,,,,,"17.2",",,Z","6.7",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-09",,,,,,,,,"16.1",",,Z","5.6",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-10",,,,,,,,,"20.0",",,Z","3.3",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-11",,,,,,,,,"15.6",",,Z","3.9",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-12",,,,,,,,,"10.6",",,Z","1.7",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-13",,,,,,,,,"11.7",",,Z","1.1",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-14",,,,,,,,,"16.1",",,Z","3.9",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-15",,,,,,,,,"18.9",",,Z","5.6",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-16",,,,,,,,,"22.8",",,Z","7.8",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-17",,,,,,,,,"15.6",",,Z","9.4",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-18",,,,,,,,,"12.8",",,Z","4.4",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-19",,,,,,,,,"17.8",",,Z","5.6",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-20",,,,,,,,,"16.7",",,Z","3.9",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-21",,,,,,,,,"8.9",",,Z","0.6",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-22",,,,,,,,,"12.8",",,Z","1.7",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-23",,,,,,,,,"13.3",",,Z","4.4",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-24",,,,,,,,,"16.7",",,Z","8.3",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-25",,,,,,,,,"17.8",",,Z","13.3",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-26",,,,,,,,,"17.2",",,Z","8.9",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-27",,,,,,,,,"13.9",",,Z","7.2",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-28",,,,,,,,,"15.6",",,Z","12.2",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-29",,,,,,,,,"15.6",",,Z","12.8",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-11-30",,,,,,,,,"20.6",",,Z","13.9",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-01",,,,,,,,,"20.6",",,Z","11.7",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-02",,,,,,,,,"11.7",",,Z","5.0",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-03",,,,,,,,,"12.2",",,Z","2.8",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-04",,,,,,,,,"16.7",",,Z","3.3",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-05",,,,,,,,,"20.6",",,Z","9.4",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-06",,,,,,,,,"21.7",",,Z","10.0",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-07",,,,,,,,,"17.2",",,Z","10.0",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-08",,,,,,,,,"10.0",",,Z","7.2",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-09",,,,,,,,,"11.1",",,Z","5.6",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-10",,,,,,,,,"7.2",",,Z","2.2",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-11",,,,,,,,,"11.1",",,Z","7.2",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-12",,,,,,,,,"10.6",",,Z","6.7",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-13",,,,,,,,,"14.4",",,Z","9.4",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-14",,,,,,,,,"18.9",",,Z","11.1",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-15",,,,,,,,,"16.1",",,Z","6.1",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-16",,,,,,,,,"6.7",",,Z","2.2",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-17",,,,,,,,,"13.9",",,Z","6.7",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-18",,,,,,,,,"14.4",",,Z","5.6",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-19",,,,,,,,,"10.0",",,Z","2.8",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-20",,,,,,,,,"9.4",",,Z","2.8",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-21",,,,,,,,,"6.7",",,Z","1.7",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-22",,,,,,,,,"7.2",",,Z","0.0",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-23",,,,,,,,,"12.2",",,Z","0.6",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-24",,,,,,,,,"10.0",",,Z","0.0",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-25",,,,,,,,,"5.0",",,Z","-1.7",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-26",,,,,,,,,"3.9",",,Z","-2.2",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-27",,,,,,,,,"3.3",",,Z","-3.9",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-28",,,,,,,,,"7.2",",,Z","-4.4",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-29",,,,,,,,,"7.2",",,Z","-1.7",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-30",,,,,,,,,"-0.6",",,Z","-5.0",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-12-31",,,,,,,,,"1.7",",,Z","-6.1",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-01",,,,,,,,,"1.1",",,Z","-5.6",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-02",,,,,,,,,"2.2",",,Z","-5.6",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-03",,,,,,,,,"3.3",",,Z","-2.8",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-04",,,,,,,,,"3.9",",,Z","-3.3",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-05",,,,,,,,,"8.3",",,Z","-2.2",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-06",,,,,,,,,"3.3",",,Z","0.0",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-07",,,,,,,,,"3.3",",,Z","0.0",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-08",,,,,,,,,"3.9",",,Z","-2.2",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-09",,,,,,,,,"10.6",",,Z","-1.7",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-10",,,,,,,,,"12.2",",,Z","1.7",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-11",,,,,,,,,"8.9",",,Z","3.9",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-12",,,,,,,,,"8.9",",,Z","-0.6",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-13",,,,,,,,,"8.3",",,Z","2.2",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-14",,,,,,,,,"8.3",",,Z","0.0",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-15",,,,,,,,,"11.1",",,Z","1.7",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-16",,,,,,,,,"6.1",",,Z","0.0",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-17",,,,,,,,,"8.9",",,Z","3.9",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-18",,,,,,,,,"6.7",",,Z","-1.1",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-19",,,,,,,,,"2.2",",,Z","-0.6",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-20",,,,,,,,,"4.4",",,Z","-1.1",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-21",,,,,,,,,"7.8",",,Z","1.1",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-22",,,,,,,,,"11.7",",,Z","1.1",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-23",,,,,,,,,"10.0",",,Z","5.0",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-24",,,,,,,,,"17.2",",,Z","4.4",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-25",,,,,,,,,"11.7",",,Z","1.7",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-26",,,,,,,,,"12.2",",,Z","0.6",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-27",,,,,,,,,"10.6",",,Z","-1.1",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-28",,,,,,,,,"15.6",",,Z","2.8",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-29",,,,,,,,,"16.1",",,Z","5.6",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-30",,,,,,,,,"19.4",",,Z","8.9",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-01-31",,,,,,,,,"10.0",",,Z","6.7",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-02-01",,,,,,,,,"24.4",",,Z","6.1",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-02-02",,,,,,,,,"6.1",",,Z","0.0",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-02-03",,,,,,,,,"7.2",",,Z","-1.1",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-02-04",,,,,,,,,"6.7",",,Z","-2.8",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002-02-05",,,,,,,,,"3.3",",,Z","-5.6",",,Z",,,,,,,,,,,,,,,,,,,,
